file_urls,type,model,product,thumb,url,source,brand,product_lang
https://anthemav.com:443/downloads/anthem-mrx-gen4-8k-spec-sheet-rev0-1.pdf,Data Sheet,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4-8k/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/MRX-X40-Dimensional.PDF,Technical Drawings,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4-8k/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
http://manuals.anthemav.com/mrx-avm/en,Manual,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4-8k/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/anthem-mrx-1140-740-540-avm90-70-quick-start-guide-051121-ONLINE.pdf,Quick Start Guide,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4-8k/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/anthem-mrx-gen4-8k-spec-sheet-rev0-1.pdf,Data Sheet,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/MRX-X40-Dimensional.PDF,Technical Drawings,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
http://manuals.anthemav.com/mrx-avm/en,Manual,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/anthem-mrx-1140-740-540-avm90-70-quick-start-guide-051121-ONLINE.pdf,Quick Start Guide,MRX 540 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-540-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-540-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/anthem-mrx-gen4-8k-spec-sheet-rev0-1.pdf,Data Sheet,MRX 740 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-740-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-740-8k/page=reviews,anthemav.com,Anthem,en
https://anthemav.com:443/downloads/MRX-X40-Dimensional.PDF,Technical Drawings,MRX 740 8K,A/V Receiver,https://anthemav.com:443/uploads/images/medium/mrx-740-8k.png,https://anthemav.com:443/products-current/series=mrx-series-gen4/model=mrx-740-8k/page=reviews,anthemav.com,Anthem,en
