file_urls,type,model,product,thumb,url,source,brand,product_lang
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/datasheet_selfprimingpumps_submersiblepumpdfprefilter_70173_enes_2021-222361.pdf,Data Sheet  ,Submersible DF Pump with Prefilter,Self-Primimg Pumps ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/horizontal_pumps_70173.png-73005.png,https://www.astralpool.com/en/products/fountains-42/horizontal-pumps/self-primimg-pumps/submersible-pump-df-with-prefilter-1/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/leaflet_internetofpools_fluidraconnect_70556_es_2021-222006.pdf,Leaflet ,Expansion module – GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_70770_v01_n01-58308.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-module-gpio-7/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/csn12ptpp4p2-164668.pdf,Data Sheet N12 4P,Expansion module – GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_70770_v01_n01-58308.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-module-gpio-7/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/70770-moduloexpansiongpio1-164667.pdf,Diagram 70770 – Expansion module – ,Expansion module – GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_70770_v01_n01-58308.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-module-gpio-7/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/leaflet_internetofpools_fluidraconnect_70556_es_2021-222001.pdf,Leaflet ,Expansion modules – White & RGB lighting,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/captura.png-56368.png,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-white-rgb-lighting-2/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/70695-modulofocosblancosrev_2-164657.pdf,Data Sheet Expansion modules – White & B lighting,Expansion modules – White & RGB lighting,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/captura.png-56368.png,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-white-rgb-lighting-2/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/cdn12pt2-164658.pdf,Data Sheet,Expansion modules – White & RGB lighting,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/captura.png-56368.png,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-white-rgb-lighting-2/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/leaflet_internetofpools_fluidraconnect_70556_es_2021-221996.pdf,Leaflet,Expansion modules – 2 auxiliary pumps,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_72731_v01_n01-58303.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-2-auxiliary-pumps-3/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/moduloexpansion2bombasporpiezo-modelo2-164684.pdf,Expansion modules – 2 auxiliary pumps,Expansion modules – 2 auxiliary pumps,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_72731_v01_n01-58303.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-2-auxiliary-pumps-3/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/csn12ptpp4p3-164685.pdf,_Expansion modules – 2 auxiliary pumps,Expansion modules – 2 auxiliary pumps,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/ap_72731_v01_n01-58303.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/expansion-modules-2-auxiliary-pumps-3/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/cat03_fluidra_connect_compatible_2017_en-5298.pdf,Fluidra Connect Compatible_,GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/fot00_gpi_ap_v01_2016-2361.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/gpio-4/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/cat03_fluidra_connect_en_2017-5300.pdf,A T_,GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/fot00_gpi_ap_v01_2016-2361.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/gpio-4/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/cat03_fluidra_connect_professional_en_2016-5302.pdf,A T Professional_,GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/fot00_gpi_ap_v01_2016-2361.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/gpio-4/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/man10_gpio_62368_sw120_es-en-fr-it_ap_v01_161031-4270.pdf,Manual ,GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/fot00_gpi_ap_v01_2016-2361.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/gpio-4/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/man01_gpio_modbus_v01_es-4308.pdf,Modbus Manual ,GPIO,Devices ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/fot00_gpi_ap_v01_2016-2361.jpg,https://www.astralpool.com/en/products/swimming-pool/fluidra-connect/devices-1/gpio-4/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/MAN12_acero_inoxidable_nov_2010.pdf,Advise of maintenance,Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71500PISINOX_WELLNESS_5X3X1_2.pdf,"Planos_71500_5X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71502PISINOX_WELLNESS_5X3X1_2.pdf,"Planos_71502_5X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71505PISINOX_WELLNESS_7X3X1_2.pdf,"Planos_71505_7X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71508PISINOX_WELLNESS_%207X3X1_2.pdf,"Planos_71508_7X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71512PISINOX_WELLNESS_%209X3X1_2.pdf,"Planos_71512_9X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71515PISINOX_WELLNESS_9X3X1_2.pdf,"Planos_71515_9X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
https://gestor-doc-s3.s3.eu-west-1.amazonaws.com/documents/category/71519PISINOX_WELLNESS_12X3X1_2.pdf,"Planos_71519_12X3X1,",Wellness,Stainless Steel Pool ,https://www.astralpool.com/wp-content/uploads/genux_uploads/large/71508ft21.03wellness7x3rebosadero-50558.jpg,https://www.astralpool.com/en/products/swimming-pool/panel-pools/stainless-steel-pool/wellness-34/,astralpool.com,AstralPool,en
