file_urls,type,model,product,product_parent,thumb,url,source,brand,product_lang
"https://www.genie-online.de/uploads/datasheet/Laminiertaschen, DE GO.pdf",Datenblatt DE,A6 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/10783.png,https://www.genie-online.de/product/Laminating-pouches-DIN-A6-80-microns-25-pack/114?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/Laminiertaschen, UK GO.pdf",Datenblatt EN,A6 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/10783.png,https://www.genie-online.de/product/Laminating-pouches-DIN-A6-80-microns-25-pack/114?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12404_Datenblatt_Laminiertaschen DIN A4, UV-SAFE, DE GO.pdf",Datenblatt DE,A4 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/12404.png,https://www.genie-online.de/product/Laminating-pouches-DIN-A4-with-UV-protection-125-micron-UV-resistant-protects-against-radiation-25-pack/118?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12404_Data Sheet_Laminiertaschen DIN A4, UV-SAFE, UK GO.pdf",Datenblatt EN,A4 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/12404.png,https://www.genie-online.de/product/Laminating-pouches-DIN-A4-with-UV-protection-125-micron-UV-resistant-protects-against-radiation-25-pack/118?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/manual/11957_Manual GENIE LA 500 A3 02.2017.pdf,Manual,LA-500 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/11957.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/110?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11957_Datenblatt_GENIE LA500 A3, DE GO.pdf",Datenblatt DE,LA-500 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/11957.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/110?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11957_Data Sheet_GENIE LA500 A3, UK GO.pdf",Datenblatt EN,LA-500 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/11957.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/110?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/CE/11975 GENIE LA500 A3 DoC 05.2017.pdf,Konformitätserklärung,LA-500 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/11957.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/110?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/manual/12509_IM GENIE LA 300 A3.pdf,Manual,LA 300 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/12509.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/103?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12509_Datenblatt_GENIE LA300 A3, DE GO.pdf",Datenblatt DE,LA 300 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/12509.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/103?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12509_Data Sheet_GENIE LA300 A3, UK GO.pdf",Datenblatt EN,LA 300 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/12509.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/103?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/CE/declaration_of_conformity_en_1455961.pdf,Konformitätserklärung,LA 300 A3,A3 Device,Laminator,https://www.genie-online.de/uploads/productimages_big/12509.png,https://www.genie-online.de/product/Laminator-DIN-A3-incl.-5-laminator-pouches/103?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12538_Data Sheet_Laminiertaschen DIN A4, selbstklebend,UK GO.pdf",Datenblatt DE,A4 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/12538.png,https://www.genie-online.de/product/Laminating-films-self-adhesive-DIN-A4-80-microns-25-pack/119?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12538_Data Sheet_Laminiertaschen DIN A4, selbstklebend, DE GO.pdf",Datenblatt EN,A4 -  Pouches,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/12538.png,https://www.genie-online.de/product/Laminating-films-self-adhesive-DIN-A4-80-microns-25-pack/119?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/manual/20220225_uni_Genie 120Serie Pocket Calculator_V1.14_Print_new.pdf,Manual,120 P,Pocket Calculator,Calculator,https://www.genie-online.de/uploads/productimages_big/12497.png,https://www.genie-online.de/product/8-digit-pocket-calculator-with-dual-power-solar-and-battery-pink/128275?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12492-12497_Datenblatt_GENIE 120 B_S_G, DE GO.pdf",Datenblatt DE,120 P,Pocket Calculator,Calculator,https://www.genie-online.de/uploads/productimages_big/12497.png,https://www.genie-online.de/product/8-digit-pocket-calculator-with-dual-power-solar-and-battery-pink/128275?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12492-12497_Data Sheet_GENIE 120 B_S_G, UK GO.pdf",Datenblatt EN,120 P,Pocket Calculator,Calculator,https://www.genie-online.de/uploads/productimages_big/12497.png,https://www.genie-online.de/product/8-digit-pocket-calculator-with-dual-power-solar-and-battery-pink/128275?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/manual/20220330_DE,EN,FR,IT,ES,PT,PL,CS,HR_11836 GENIE DLS5_Print.pdf",Manual,DLS 5,Scales,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11836.png,https://www.genie-online.de/product/GENIE-DLS-5-letter-scale-digital/128277?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11836_Datenblatt_GENIE DLS5, DE GO.pdf",Datenblatt DE,DLS 5,Scales,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11836.png,https://www.genie-online.de/product/GENIE-DLS-5-letter-scale-digital/128277?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11836_Datenblatt_GENIE DLS5, UK GO.pdf",Datenblatt EN,DLS 5,Scales,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11836.png,https://www.genie-online.de/product/GENIE-DLS-5-letter-scale-digital/128277?_escaped_fragment_=support,genie-online.de,Genie,de
https://www.genie-online.de/uploads/CE/declaration_of_conformity_de_1405441.pdf,Konformitätserklärung,DLS 5,Scales,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11836.png,https://www.genie-online.de/product/GENIE-DLS-5-letter-scale-digital/128277?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11963_Datenblatt_GENIE Laminierfolien A4 mit Ringbuchlochung, DE GO.pdf",Datenblatt DE,A4 - Folien,Pouches,Laminator,https://www.genie-online.de/uploads/productimages_big/11963.png,https://www.genie-online.de/product/Laminating-pouches-filing-edge-perforation-DIN-A4-25-pack/117?_escaped_fragment_=support,genie-online.de,Genie,de
