brand,file_urls,model,product,product_lang,product_parent,source,thumb,type,url
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_dd8d4108-112a-454d-bcb2-b119495ef479,CFS20,Filters,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_90a50dc8-7fa8-45bd-b364-29cd14b1eae9,Instruction manual,https://www.grepool.com/en/filters/cartridgde-filters/power-35-w-white
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_f2df7cce-2350-4eca-8fa6-c40bcc95ec7a,VF025,Accesories for the filters,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_9f7d6d0b-98e4-4f41-b2e3-de87502b750d,Technical data,https://www.grepool.com/en/accesories-for-the-filters/filter-media/glass-filter-media-25-kg
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_c06935fd-d6b3-404f-804f-3de656a38fb5,AQ700,Accesories for the filters,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_97711f6e-9bb4-4c01-9719-6d12269e245a,Technical data,https://www.grepool.com/en/accesories-for-the-filters/filter-media/aqualoon-filter-media-700-g
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_3b8d8a50-e55c-495d-96a6-bc99c2bc93da,PP201,Pumps for pools,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_8e2de4a4-076e-4b60-afc0-d9bc9cc76143,Instruction manual,https://www.grepool.com/en/pumps-for-pools/premium-pumps/self-priming-pump-2-cv
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_daea9536-0413-4bec-b371-ef9db189b02f,PP151,Pumps for pools,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_bfb601e3-9e07-4304-8d0f-49b4f9170182,Instruction manual,https://www.grepool.com/en/pumps-for-pools/premium-pumps/self-priming-pump-1-5-cv
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_41895b3c-8539-4169-8175-bb74217260e2,PP076H,Pumps for pools,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_73ea495e-d947-4529-b91f-9f940337dd3d,Instruction manual,https://www.grepool.com/en/pumps-for-pools/premium-pumps/self-priming-pump-3-4cv
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_99ed0748-0af0-451a-bdcf-3745e20b8121,PP101,Pumps for pools,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_7ef96d0f-af47-4838-97f0-b4693724daf7,Instruction manual,https://www.grepool.com/en/pumps-for-pools/premium-pumps/self-priming-pump-1-cv
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_63fa3e67-52af-41c3-b069-542729259fd8,TRCP96,Technical rooms for filtration,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_3503a790-36de-433e-94c8-9a9b5d273126,Instruction manual,https://www.grepool.com/en/technical-rooms-for-filtration/avantgarde-technical-room/hauteur-89-cm
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_a8599006-90b7-47c3-aba9-cb6d86148007,TRCP124,Technical rooms for filtration,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_b08494e6-cdbc-4dd3-99f4-482f18cf349f,Instruction manual,https://www.grepool.com/en/technical-rooms-for-filtration/avantgarde-technical-room/115-cm-height
Gre,https://asset.productmarketingcloud.com/api/assetstorage/3096_add83d19-ebb6-4d41-96db-ec191cd6c008,FIS500,Filters,en,Filtration,https://www.grepool.com/en,https://asset.productmarketingcloud.com/api/assetstorage/3096_04d8c576-8f51-4897-8db8-7bb47190d6f4,Technical data,https://www.grepool.com/en/filters/independent-filters/o500-mm-tank-without-pump
