file_urls,type,product,product_parent,model,thumb,url,source,brand,product_lang
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/WA1920.0W-EN-EUProductFiche.pdf,Energy card,Washing machine,WASHING MACHINES,WA1920.0 W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61272BI29695_123960000_WA1920_0_W_SZ7.png,https://www.home-kueppersbusch.com/global/product/wa1920-0-w_123960000/,home-kueppersbusch.com,Küppersbusch,en
http://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/WA1920.0W-EN-EUProductFiche.pdf,EU Product Fiche,Washing machine,WASHING MACHINES,WA1920.0 W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61272BI29695_123960000_WA1920_0_W_SZ7.png,https://www.home-kueppersbusch.com/global/product/wa1920-0-w_123960000/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G4800.0v-EN-EUEnergyfiche.pdf,Energy card,45 cm,DISHWASHERS,G4800.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71071BI29637_124320001_G4800_0v_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/g4800-0v_124320001/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6805.0v-EN-EUEnergyfiche.pdf,Energy card,60 cm,DISHWASHERS,G6805.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71072BI29640_124260001_G6805_0v_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/g6805-0v_124260001/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6300.0v-EN-EUEnergyfiche.pdf,Energy card,60 cm,DISHWASHERS,G6300.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71075BI29638_124280001_G6300_0v_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/g6300-0v_124280001/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/G6500.0v-EN-EUEnergyfiche.pdf,Energy card,60 cm,DISHWASHERS,G6500.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71073BI29639_124270005_G6500_0v_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/g6500-0v_124270005/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/GX6500.0v-EN-EUEnergyfiche.pdf,Energy card,60 cm XXL,DISHWASHERS,GX6500.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71074BI29645_124270006_GX6500_0v_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/gx6500-0v_124270006/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/WT-6800-EN-Manual.pdf,Manuals,Washer dryer,WASHING MACHINES,WT6800.0I,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61270BI30901_124030000_WT6800_0_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/wt6800-0i_124030000/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FKU1500.1i-EN-EUEnergyfiche.pdf,Energy card,Under counter,REFRIGERATORS,FKU1500.1i,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80772BI29752_123470007_FKU1500_1i_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/fku1500-1i_123470007/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FG2500.1i-EU-EUEnergyfiche.pdf,Energy card,Integrable,REFRIGERATORS,FG2500.1i,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80769BI29714_123510001_FG2500_1i_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/fg2500-1i_123510001/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FKG9600.0E-UserManual-EN-PT-ES-DE.pdf,Manuals,Free installation,REFRIGERATORS,FKG9600.0E,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR51747BI29744_123430008_FKG_9600_0E_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/fkg-9600-0e_123430008/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/FWK8850.0S-DE-FR-EN-NL-ES-IT-Manual.pdf,Manuals,Wine cooler,REFRIGERATORS,FWK8850.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61381BI29634_123600006_FWK8850_0S_SZ7.png,https://www.home-kueppersbusch.com/en-gb/product/fwk8850-0s_123600006/,home-kueppersbusch.com,Küppersbusch,en
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/1/CKV6550.0-InstallationManual.pdf,Ghid de întreținere,Automate de cafea,CUPTOARE,REF. 121640009,,https://www.home-kueppersbusch.com/ro-ro/product/ckv6550-0w_121640009/,home-kueppersbusch.com,Küppersbusch,ro
