Type,brand,file_urls,model,product,product_lang,source,thumb,url
Инструкция ,Scarlett,scarlett.ru/ajax/files/11793/a5da8f23d94fa194f4d26ab6538bf0f0/,sc-hb42f50,Блендер погружной,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/bde/1000_1500_1/SC_HB42F50_all.png,https://www.scarlett.ru/catalog/dlya-kukhni/obrabotka-produktov/blendery/ITM_sc-hb42f50/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11735/b8009e918c6c7cb919276d456476d7c5/,sc-hb42f38,Блендер,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/bb7/sc-hb42f38.png,https://www.scarlett.ru/catalog/dlya-kukhni/obrabotka-produktov/blendery/ITM_sc-hb42f38/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11726/6d3db827c7d5096879bc59f99b206d4d/,sc-hb42f05,Блендер погружной,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/a6e/SC_HB42F05_4.png,https://www.scarlett.ru/catalog/dlya-kukhni/obrabotka-produktov/blendery/ITM_sc-hb42f05/
Инструкция ,Scarlett,scarlett.ru/ajax/files/14539/601617af363f983ac1ec55ed08430c9c/,sc-4143,Блендер настольный,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/3aa/1000_1500_1/SC_4143_White_new.png,https://www.scarlett.ru/catalog/dlya-kukhni/obrabotka-produktov/blendery/ITM_sc-4143/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11699/05b5b1c7b6663e7a2cbee7a4205e2392/,sc-hb42f15,Блендер погружной,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/b62/1000_1500_1/SC_HB42F15_all.png,https://www.scarlett.ru/catalog/dlya-kukhni/obrabotka-produktov/blendery/ITM_sc-hb42f15/
Инструкция ,Scarlett,scarlett.ru/ajax/files/30041/d9f2d2462907c23c067c783f5cd26d4d/,SC-AH986M19,УЛЬТРАЗВУКОВОЙ УВЛАЖНИТЕЛЬ ВОЗДУХА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/cdc/1000_1500_1/SC_AH986M19_31_2.png,https://www.scarlett.ru/catalog/klimat/uvlazhnenie-i-ochishchenie-vozdukha/uvlazhniteli/ITM_SC-AH986M19/
Инструкция ,Scarlett,scarlett.ru/ajax/files/30030/83a32269a94130f694c435e55d574854/,SC-AH986E15,УЛЬТРАЗВУКОВОЙ УВЛАЖНИТЕЛЬ ВОЗДУХА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/d71/1000_1500_1/SC_AH986E15v1.png,https://www.scarlett.ru/catalog/klimat/uvlazhnenie-i-ochishchenie-vozdukha/uvlazhniteli/ITM_SC-AH986E15/
Инструкция ,Scarlett,scarlett.ru/ajax/files/30054/469f645b6451197f0cff56f3fbda7f88/,SC-AH986M21,УЛЬТРАЗВУКОВОЙ УВЛАЖНИТЕЛЬ ВОЗДУХА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/799/1000_1500_1/SC_AH986M21_001.png,https://www.scarlett.ru/catalog/klimat/uvlazhnenie-i-ochishchenie-vozdukha/uvlazhniteli/ITM_SC-AH986M21/
Инструкция ,Scarlett,scarlett.ru/ajax/files/30024/98e87003ce568d91d727809a54914d16/,SC-AH986E11,УЛЬТРАЗВУКОВОЙ УВЛАЖНИТЕЛЬ ВОЗДУХА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/1c5/1000_1500_1/SC_AH986E11v1.png,https://www.scarlett.ru/catalog/klimat/uvlazhnenie-i-ochishchenie-vozdukha/uvlazhniteli/ITM_SC-AH986E11/
Инструкция ,Scarlett,scarlett.ru/ajax/files/30039/1cc5936c679aabce9870050e876bc007/,SC-AH986M20,УЛЬТРАЗВУКОВОЙ УВЛАЖНИТЕЛЬ ВОЗДУХА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/7b7/1000_1500_1/SC_AH986M20v1.png,https://www.scarlett.ru/catalog/klimat/uvlazhnenie-i-ochishchenie-vozdukha/uvlazhniteli/ITM_SC-AH986M20/
