file_urls,type,model,product,thumb,url,source,brand,product_lang
https://cdn.shopifycdn.net/s/files/1/0857/5574/files/Loop100_USB-A_Bluetooth_Adapter_User_Guide.pdf?v=1661304562,User Guide,LOOP 100 WIRELESS ADAPTER,Adapter,https://cdn.shopify.com/s/files/1/0857/5574/products/1_2a4180af-9e87-4200-ba45-70d672460137.png?v=1660787002,https://shokz.com/products/loop-100-wireless-adapter,shokz.com,Shokz,en
https://cdn.shopifycdn.net/s/files/1/1951/5775/files/Loop100_USB-A_Bluetooth_Adapter_User_Guide.pdf?v=1661304591,User Guide,LOOP 100 WIRELESS ADAPTER,Adapter,https://cdn.shopify.com/s/files/1/1951/5775/products/1_4e372777-0ecf-48a1-984c-53b8c1817ef1.png?v=1661155716,https://ca.shokz.com/products/loop-100-wireless-adapter,shokz.com,Shokz,en
https://cdn.shopifycdn.net/s/files/1/0074/1890/4612/files/Shokz_Loop_100-User_Guide.pdf?v=1661390242,User Guide,Adaptateur Bluetooth,Adapter,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/1_57a5146f-ce00-4f40-bf02-1cefec2bdeb0_1200x1200.png?v=1660558455,https://fr.shokz.com/products/dongle,shokz.com,Shokz,fr
https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenComm_User_Guide-Fr-0222.pdf?v=1645603720,User Guide,OPEN COMM,HEADSET,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/opencomm_2_e207029f-9779-40bd-bf30-07023d0c4918_1200x1200.png?v=1640049316,https://fr.shokz.com/products/opencomm,shokz.com,Shokz,fr
https://cdn.shopifycdn.net/s/files/1/0252/6088/4047/files/OpenSwim_UserGuide-French.pdf?v=1661759549,User Guide,OPENSWIM,SWIMMING HEADPHONES,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/BLACK1_ee3fcc33-3263-40f1-9f42-3faa1241c7d5_1200x1200.png?v=1655773597,https://fr.shokz.com/products/openswim,shokz.com,Shokz,fr
https://cdn.shopifycdn.net/s/files/1/0074/1890/4612/files/OpenComm_UC_en_User_Manual.pdf?v=1661319587,User Manual,OPEN COMM UC,HEADSET,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/opencommuc1_1200x1200.png?v=1660635186,https://fr.shokz.com/products/opencommuc,shokz.com,Shokz,fr
https://cdn.shopifycdn.net/s/files/1/0252/6088/4047/files/OpenComm_UC_fr_User_Manual.pdf?v=1661319636,User Manual,OPEN COMM UC,HEADSET,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/opencommuc1_1200x1200.png?v=1660635186,https://fr.shokz.com/products/opencommuc,shokz.com,Shokz,fr
https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenMove_User_Guide-Fr-0222.pdf?v=1645603720,User Guide,OPENMOVE,LIFESTYLE/SPORT HEADPHONES,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/GREY1_4a3c8614-9a99-4405-a495-8dcee4209ea9_1200x1200.png?v=1661739203,https://fr.shokz.com/products/openmove,shokz.com,Shokz,fr
https://cdn.shopifycdn.net/s/files/1/0252/6088/4047/files/Find_your_size_FR.pdf?v=1650011414,Size Guide,OPENRUN,ENDURANCE HEADPHONES,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/BLACK1_3441f3b9-c60d-4c38-9b10-6abcccbc2c82_1200x1200.png?v=1661739302,https://fr.shokz.com/products/openrun,shokz.com,Shokz,fr
https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenRun_User_Guide-Fr-0223.pdf?v=1645603720,User Guide,OPENRUN,ENDURANCE HEADPHONES,https://cdn.shopify.com/s/files/1/0252/6088/4047/products/BLACK1_3441f3b9-c60d-4c38-9b10-6abcccbc2c82_1200x1200.png?v=1661739302,https://fr.shokz.com/products/openrun,shokz.com,Shokz,fr
https://cdn.shopify.com/s/files/1/0857/5574/files/Trekz_Air_User_Guide_fe2a880c-68e3-4cc2-b741-65973e8a87b1.pdf?v=1622452773,User Guide,Air,LIFESTYLE/SPORT HEADPHONES,https://cdn.shopify.com/s/files/1/1951/5775/products/AirSlateGrey.png?v=1641798667,https://ca.shokz.com/products/air,shokz.com,Shokz,en
