file_urls,type,model,product,thumb,url,source,brand,product_lang
http://www.sinbo.com.tr/uploads/pdfs/SDF-3832.pdf,User Guide,SDF 3832, Deep Fryers,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sdf-3832-deep-fryers,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SF-6750.pdf,User Guide,SF 6750, Fan,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sf-6750-fan,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SFH-3393.pdf,User Guide,SFH 3393, Fan Heater,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sfh-3393-fan-heater,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2867.pdf,User Guide,SSI 2867, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2867-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2863.pdf,User Guide,SSI 2863, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2863-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3479.pdf,User Guide,SVC 3479, Bagless Cyclonic Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3479-bagless-cyclonic-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3459.pdf,User Guide,SVC 3459, Bagless Cyclonic Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3459-bagless-cyclonic-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/kullanim kilavuzlari/SAH-6107.pdf,User Guide,SAH 6107, Air Humidifier,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sah-6107-air-humidifier,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2851.pdf,User Guide,SSI 2851, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2851-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2876.pdf,User Guide,SSI 2876, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2876-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2874.pdf,User Guide,SSI 2874, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2874-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2886.pdf,User Guide,SSI 2886, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2886-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SSI-2877.pdf,User Guide,SSI 2877, Steam Iron,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ssi-2877-steam-iron,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SFH-3317.pdf,User Guide,SFH 3317, Fan Heater,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sfh-3317-fan-heater,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SFH-3394.pdf,User Guide,SFH 3394, Vertical Infrared Heater,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sfh-3394-vertical-infrared-heater,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SFH-3395.pdf,User Guide,SFH 3395, Mini Infrared Heater,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sfh-3395-mini-infrared-heater,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SFH-3396.pdf,User Guide,SFH 3396, İnfrared Heater,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sfh-3396-infrared-heater,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SDF-3827.pdf,User Guide,SDF 3827, Deep Fryers,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sdf-3827-deep-fryers,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SF-6710.pdf,User Guide,SF 6710, Fan,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sf-6710-fan,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SDF-3817.pdf,User Guide,SDF 3817, Deep Fryers,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sdf-3817-deep-fryers,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3460.pdf,User Guide,SVC 3460, Wet & Dry Car Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3460-wet-dry-car-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4432.pdf,User Guide,SBS 4432, Digital Body Fat Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4432-digital-body-fat-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-2700.pdf,User Guide,SHD 2700, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-2700-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7050.pdf,User Guide,SHD 7050, Hair Curler,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7050-hair-curler,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7038.pdf,User Guide,SHD 7038, Hair Curler,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7038-hair-curler,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7032.pdf,User Guide,SHD 7032, Hair Curler,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7032-hair-curler,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-2671.pdf,User Guide,SHD 2671, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-2671-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-2696.pdf,User Guide,SHD 2696, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-2696-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7056.pdf,User Guide,SHD 7056, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7056-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-2686D.pdf,User Guide,SHD 2686D, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-2686d-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7055.pdf,User Guide,SHD 7055, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7055-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7054.pdf,User Guide,SHD 7054, Hair Dryer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7054-hair-dryer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4429.pdf,User Guide,SBS 4429, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4429-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4445.pdf,User Guide,SBS 4445, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4445-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4446.pdf,User Guide,SBS 4446, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4446-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4442.pdf,User Guide,SBS 4442, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4442-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4444.pdf,User Guide,SBS 4444, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4444-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SBS-4443.pdf,User Guide,SBS 4443, Digital Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sbs-4443-digital-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3472.pdf,User Guide,SVC 3472, Vertical Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3472-vertical-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3455WD.pdf,User Guide,SVC 3455WD, Wet & Dry Rechargeable Electric Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3455wd-wet-dry-rechargeable-electric-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3438.pdf,User Guide,SVC 3438, Dust Bag Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3438-dust-bag-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SVC-3449.pdf,User Guide,SVC 3449, Dust Bag Vacuum Cleaner,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/svc-3449-dust-bag-vacuum-cleaner,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHD-7057.pdf,User Guide,SHD 7057, Hair Straightener,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shd-7057-hair-straightener,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4353.pdf,User Guide,SHC 4353, Professional Hair Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4353-professional-hair-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4369.pdf,User Guide,SHC 4369, Hair & Beard Care Set,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4369-hair-beard-care-set,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4348.pdf,User Guide,SHC 4348, Rechargeable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4348-rechargeable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/STR-4919.pdf,User Guide,STR 4919, Personal Trimmer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/str-4919-personal-trimmer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SKS-4522.pdf,User Guide,SKS 4522, Digital Kitchen Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sks-4522-digital-kitchen-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SKS-4521.pdf,User Guide,SKS 4521, Digital Kitchen Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sks-4521-digital-kitchen-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SKS-4519.pdf,User Guide,SKS 4519, Digital Kitchen Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sks-4519-digital-kitchen-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SKS-4520.pdf,User Guide,SKS 4520, Digital Kitchen Scale,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sks-4520-digital-kitchen-scale,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/STR-4920.pdf,User Guide,STR 4920, Personal Trimmer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/str-4920-personal-trimmer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4365.pdf,User Guide,SHC 4365, Rechargeable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4365rechargeable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4372.pdf,User Guide,SHC 4372, Rechargeable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4372rechargeable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4354S.pdf,User Guide,SHC 4354S, Rechargeable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4354s-rechargeable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4363.pdf,User Guide,SHC 4363, Rechargeable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4363-rechargeable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4370.pdf,User Guide,SHC 4370, Rechargeable Washable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4370-rechargeable-washable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4367.pdf,User Guide,SHC 4367, Rechargeable Washable Hair & Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4367-rechargeable-washable-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4371.pdf,User Guide,SHC 4371, Wet & Dry Hair Beard Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4371-wet-dry-hair-beard-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4364.pdf,User Guide,SHC 4364, Hair & Beard Care Set,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4364-hair-beard-care-set,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SS-4045.pdf,User Guide,SS 4045, Rechargeable Washable Shaver,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ss-4045-rechargeable-washable-shaver,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHC-4374.pdf,User Guide,SHC 4374, Professional Hair Clipper,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shc-4374-professional-hair-clipper,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SS-4047.pdf,User Guide,SS 4047, Wet & Dry Rechargeable Shaver,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ss-4047-wet-dry-rechargeable-shaver,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SS-4032.pdf,User Guide,SS 4032, Rechargeable Washable Shaver,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ss-4032-rechargeable-washable-shaver,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SS-4044.pdf,User Guide,SS 4044, Rechargeable Washable Shaver,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ss-4044-rechargeable-washable-shaver,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SS-4048.pdf,User Guide,SS 4048, Rechargeable Shaver,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/ss-4048rechargeable-shaver,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SJ-3141.pdf,User Guide,SJ 3141, Citrus Juicer,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/sj-3141-citrus-juicer,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SMX-2731.pdf,User Guide,SMX 2731, Stand Mixer Set,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/smx-2731-stand-mixer-set,sinbo.com.tr,Sinbo,en
http://www.sinbo.com.tr/uploads/pdfs/SHB-3138.pdf,User Guide,SHB 3138, Meat Grinder & Tomato Paste,http://www.sinbo.com.tr/uploads/caydanlik-menu_op.png,http://www.sinbo.com.tr/en/product/shb-3138-meat-grinder-tomato-paste,sinbo.com.tr,Sinbo,en
